STT,Mã BC,Name,Tỉnh,Quận/Huyện/TP/Thị xã,Địa chỉ,Longitude,Latitude,Note
1,232A01,(QBH)Bắc Lý,Quảng Bình,Thành phố Đồng Hới,"89 Lê Lợi, Phường Hải Đình, Thành Phố Đồng Hới, Quảng Bình",106.6218486,17.45959389,Cũ
2,297K01,(KGG) Duơng Đông,Kiên Giang,Thành Phố Phú Quốc,"326 Nguyễn Trung Trực , Khu Phố 5 , P . Dương Đông , TP. Phú Quốc , Kiên Giang",103.978444,10.228111,Cũ
3,221C03,(HYN) Phùng Hưng,Hưng Yên,Huyện Khoái Châu,"Đường 205, thôn Sài Thị, Xã Thuần Hưng, huyện Khoái Châu, tỉnh Hưng Yên",105.996005,20.781528,Cũ
4,258D01,(KHH)Cam Ranh,Khánh Hòa,Thành phố Cam Ranh,"2274 Hùng Vương, phường Ba Ngòi, Tp Cam Ranh, Tỉnh Khánh Hòa",109.138246,11.915079,Cũ
5,237I02,(THA) Thiệu Hóa 2,Thanh Hóa,Huyện Thiệu Hóa,"Xã Thiệu Phú, Huyện Thiệu Hoá, Thanh Hoá",105.6783616,19.9066717,Cũ
6,237I01,(THA) Thiệu Hóa,Thanh Hóa,Huyện Thiệu Hóa,"SN 19 đường 515 Thôn 1, Xã Thiệu Vận, Huyện Thiệu Hóa, Thanh Hóa",105.676472,19.865944,Cũ
7,222F02,(BNH) Công Hà,Bắc Ninh,Huyện Thuận Thành,"Công Hà, Phường Hà Mãn, Thị xã Thuận Thành, Bắc Ninh",106.03302,21.03304,Cũ
736,024U02,(HNI) Ba Trại,Hà Nội,Huyện Ba Vì,"Thửa đất số 34-1, tờ bản đồ số 41, Thôn 7, xã Ba Trại, H. Ba Vì, Hà Nội",105.3718039,21.12022618,Cũ
737,024U01,(HNI)Chu Minh,Hà Nội,Huyện Ba Vì,"Khu Đồng Cống, Thị trấn Tây Đằng, Huyện Ba Vì, Hà Nội",105.414837,21.203268,Cũ
10,225B01,(HPG)Ngô Gia Tự,Hải Phòng,Quận Hải An,"369 Lũng Đông, Phường Đằng Hải, Quận Hải An, Hải Phòng",106.7288424,20.8393647,Cũ
11,225B03,(HPG) Trần Hưng Đạo,Hải Phòng,Quận Hải An,"Tổ dân phố Bình Kiều 1, Phường Đông Hải 2, Quận Hải An, TP Hải Phòng",106.72075,20.84919,Cũ
659,024X01,(HNI)Chúc Sơn,Hà Nội,Huyện Chương Mỹ,"Km 20, Quốc Lộ 6, Thị trấn Chúc Sơn, Huyện Chương Mỹ, Hà Nội",105.706676,20.924617,Cũ
735,024X02,(HNI)Xuân Mai,Hà Nội,Huyện Chương Mỹ,"Số nhà 129, Tổ 2 Tân Xuân, Thị Trấn Xuân Mai, Huyện Chương Mỹ, Hà Nội",105.5780953,20.907772,Cũ
569,024S01,(HNI) TT Phùng,Hà Nội,Huyện Đan Phượng,"số 61 Tây Sơn,Thị trấn Phùng, huyện Đan Phượng, Hà Nội",105.6759182,21.08199888,Cũ
90,024O01,(HNI)Cao Lỗ,Hà Nội,Huyện Đông Anh,"Số nhà 12 đường Việt Hùng, Xã Uy Nỗ, Huyện Đông Anh, Hà Nội",105.868887,21.1379953,Cũ
483,024O02,(HNI)Hậu Dưỡng,Hà Nội,Huyện Đông Anh,"Số 112 đường Đồng Quan, Xã Kim Nỗ, Huyện Đông Anh, Hà Nội",105.790498,21.13497,Cũ
658,024O04,(HNI) Khối 3A,Hà Nội,Huyện Đông Anh,"QL3 Số 4 Tổ 15, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",105.84677,21.163723,Cũ
1069,024O05,(HNI) Hải Bối,Hà Nội,Huyện Đông Anh,"Thôn Đồng Nhân, xã Hải Bối, huyện Đông Anh, thành phố Hà Nội",105.803042,21.118608,Cũ
25,024N07,(HNI) Ninh Hiệp,Hà Nội,Huyện Gia Lâm,"Số 80A, ngõ 130 đường Hồ Sen, xã Yên Viên, Huyện Gia Lâm, TP Hà Nội",105.919506,21.082898,Cũ
